trade_date,000001.SZ,600519.SH,000858.SZ
2024-04-11,0.269829,0.440205,0.289966
2024-04-12,0.268502,0.441207,0.290291
2024-04-15,0.274495,0.441017,0.284488
2024-04-16,0.275207,0.441802,0.282991
2024-04-17,0.270332,0.444483,0.285185
2024-04-18,0.269386,0.445117,0.285498
2024-04-19,0.271044,0.443122,0.285834
2024-04-22,0.260951,0.458255,0.280794
2024-04-23,0.258393,0.462637,0.278970
2024-04-24,0.257141,0.465929,0.276930
2024-04-25,0.256963,0.464989,0.278049
2024-04-26,0.256489,0.468215,0.275296
2024-04-29,0.256494,0.468296,0.275210
2024-04-30,0.256770,0.467318,0.275912
2024-05-06,0.265368,0.454647,0.279984
2024-05-07,0.265347,0.454894,0.279759
2024-05-08,0.261037,0.458838,0.280125
2024-05-09,0.260865,0.458226,0.280909
2024-05-10,0.261145,0.456926,0.281929
2024-05-13,0.264889,0.451465,0.283646
2024-05-14,0.261478,0.456243,0.282279
2024-05-15,0.255485,0.458072,0.286443
2024-05-16,0.248923,0.468255,0.282822
2024-05-17,0.247726,0.469280,0.282995
2024-05-20,0.247489,0.468517,0.283993
2024-05-21,0.244606,0.472292,0.283102
2024-05-22,0.299010,0.438333,0.262657
2024-05-23,0.297938,0.439508,0.262554
2024-05-24,0.298897,0.439402,0.261701
2024-05-27,0.304161,0.436381,0.259458
2024-05-28,0.303407,0.437493,0.259101
2024-05-29,0.301770,0.438540,0.259690
2024-05-30,0.302458,0.436502,0.261040
2024-05-31,0.303234,0.436428,0.260338
2024-06-03,0.303825,0.434837,0.261338
2024-06-04,0.304099,0.435731,0.260169
2024-06-05,0.302295,0.436708,0.260996
2024-06-06,0.302426,0.436628,0.260946
2024-06-07,0.303786,0.436069,0.260144
2024-06-11,0.310940,0.424603,0.264457
2024-06-12,0.295088,0.433292,0.271619
2024-06-13,0.301317,0.432213,0.266470
2024-06-14,0.301417,0.431929,0.266654
2024-06-17,0.315034,0.420481,0.264484
2024-06-18,0.316888,0.418148,0.264965
2024-06-19,0.317642,0.412609,0.269749
2024-06-20,0.317002,0.413983,0.269015
2024-06-21,0.320216,0.409101,0.270683
2024-06-24,0.321371,0.406805,0.271824
2024-06-25,0.320847,0.406327,0.272826
2024-06-26,0.321727,0.404250,0.274023
2024-06-27,0.321880,0.403645,0.274475
2024-06-28,0.324111,0.400501,0.275387
2024-07-01,0.322368,0.398435,0.279197
2024-07-02,0.334311,0.378688,0.287001
2024-07-03,0.334649,0.377466,0.287885
2024-07-04,0.335838,0.376231,0.287931
2024-07-05,0.316837,0.377435,0.305728
2024-07-08,0.321799,0.373528,0.304673
2024-07-09,0.321747,0.369696,0.308557
2024-07-10,0.321523,0.369776,0.308701
2024-07-11,0.332616,0.367367,0.300017
2024-07-12,0.322213,0.360802,0.316985
2024-07-15,0.321283,0.359636,0.319081
2024-07-16,0.336334,0.351503,0.312163
2024-07-17,0.345355,0.348896,0.305749
2024-07-18,0.345223,0.349354,0.305424
2024-07-19,0.352047,0.346514,0.301439
2024-07-22,0.349426,0.346070,0.304504
2024-07-23,0.357647,0.340491,0.301862
2024-07-24,0.358510,0.339573,0.301918
2024-07-25,0.354567,0.338579,0.306854
2024-07-26,0.361113,0.335290,0.303597
2024-07-29,0.362169,0.334204,0.303626
2024-07-30,0.349854,0.343200,0.306947
2024-07-31,0.356138,0.337300,0.306562
2024-08-01,0.364311,0.331801,0.303888
2024-08-02,0.361813,0.333011,0.305176
2024-08-05,0.370224,0.328479,0.301298
2024-08-06,0.364965,0.330811,0.304224
2024-08-07,0.366584,0.329813,0.303604
2024-08-08,0.369241,0.328101,0.302657
2024-08-09,0.385679,0.316750,0.297570
2024-08-12,0.395719,0.309942,0.294340
2024-08-13,0.396149,0.310122,0.293729
2024-08-14,0.402787,0.306880,0.290333
2024-08-15,0.400485,0.307175,0.292340
2024-08-16,0.401852,0.306015,0.292133
2024-08-19,0.396311,0.308155,0.295534
2024-08-20,0.403736,0.304271,0.291992
2024-08-21,0.405596,0.303094,0.291310
2024-08-22,0.409015,0.302026,0.288959
2024-08-23,0.409063,0.301004,0.289933
2024-08-26,0.411356,0.302790,0.285854
2024-08-27,0.414467,0.301162,0.284371
2024-08-28,0.414855,0.304670,0.280475
2024-08-29,0.421869,0.309105,0.269026
2024-08-30,0.430686,0.307868,0.261447
2024-09-02,0.439560,0.300767,0.259673
2024-09-03,0.436710,0.304490,0.258801
2024-09-04,0.436254,0.304880,0.258866
2024-09-05,0.434826,0.303680,0.261495
2024-09-06,0.437851,0.302618,0.259532
2024-09-09,0.428134,0.307147,0.264720
2024-09-10,0.426266,0.308321,0.265413
2024-09-11,0.413602,0.315451,0.270946
2024-09-12,0.419632,0.307418,0.272950
2024-09-13,0.424276,0.308673,0.267051
